Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
64,tt0077402,2022-01-16,2022-01-16,,Dawn of the Dead,https://www.imdb.com/title/tt0077402/,movie,7.9,127,1978,"Horror, Thriller",117512,1978-09-01,George A. Romero
65,tt0425112,2022-01-16,2022-01-16,,Hot Fuzz,https://www.imdb.com/title/tt0425112/,movie,7.8,121,2007,"Action, Comedy, Mystery, Thriller",489264,2007-02-13,Edgar Wright
66,tt4468740,2022-01-16,2022-01-16,,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.8,103,2017,"Adventure, Comedy, Family, Fantasy",70741,2017-11-05,Paul King
67,tt0382932,2022-01-16,2022-01-16,,Ratatouille,https://www.imdb.com/title/tt0382932/,movie,8.0,111,2007,"Animation, Adventure, Comedy, Family, Fantasy",682904,2007-06-22,"Brad Bird, Jan Pinkava"
68,tt0381061,2022-01-16,2022-01-16,,Casino Royale,https://www.imdb.com/title/tt0381061/,movie,8.0,144,2006,"Action, Adventure, Thriller",635351,2006-11-14,Martin Campbell
69,tt0120737,2022-01-16,2022-01-16,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1765042,2001-12-10,Peter Jackson
70,tt0145487,2022-01-16,2022-01-16,,Spider-Man,https://www.imdb.com/title/tt0145487/,movie,7.3,121,2002,"Action, Adventure, Sci-Fi",771514,2002-04-30,Sam Raimi
71,tt0083658,2022-01-16,2022-01-16,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",736481,1982-06-25,Ridley Scott
72,tt0052357,2022-01-16,2022-01-16,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",388598,1958-05-22,Alfred Hitchcock
73,tt0443706,2022-01-16,2022-01-16,,Zodiac,https://www.imdb.com/title/tt0443706/,movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",510722,2007-02-28,David Fincher
74,tt0114369,2022-01-16,2022-01-16,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1550715,1995-09-15,David Fincher
75,tt6751668,2022-01-16,2022-01-16,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",706142,2019-05-21,Bong Joon Ho
76,tt1285016,2022-01-16,2022-01-16,,The Social Network,https://www.imdb.com/title/tt1285016/,movie,7.7,120,2010,"Biography, Drama",669270,2010-09-24,David Fincher
77,tt0096283,2022-01-16,2022-01-16,,Tonari no Totoro,https://www.imdb.com/title/tt0096283/,movie,8.2,86,1988,"Animation, Comedy, Family, Fantasy",319080,1988-04-16,Hayao Miyazaki
78,tt0119396,2022-01-16,2022-01-16,,Jackie Brown,https://www.imdb.com/title/tt0119396/,movie,7.5,154,1997,"Crime, Drama, Thriller",336497,1997-12-08,Quentin Tarantino
79,tt0078788,2022-01-16,2022-01-16,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",640622,1979-05-19,Francis Ford Coppola
80,tt2582802,2022-01-16,2022-01-16,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",784866,2014-01-16,Damien Chazelle
81,tt5649144,2022-01-16,2022-01-16,,The Florida Project,https://www.imdb.com/title/tt5649144/,movie,7.6,111,2017,Drama,107168,2017-05-22,Sean Baker
82,tt0097814,2022-01-16,2022-01-16,,Majo no takky�bin,https://www.imdb.com/title/tt0097814/,movie,7.9,103,1989,"Animation, Family, Fantasy",136519,1989-07-29,Hayao Miyazaki
83,tt0449059,2022-01-16,2022-01-16,,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,movie,7.8,101,2006,"Comedy, Drama",461367,2006-01-20,"Jonathan Dayton, Valerie Faris"
84,tt2872718,2022-01-16,2022-01-16,,Nightcrawler,https://www.imdb.com/title/tt2872718/,movie,7.8,117,2014,"Crime, Drama, Thriller",509227,2014-09-05,Dan Gilroy
85,tt0347149,2022-01-16,2022-01-16,,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",368123,2004-09-05,Hayao Miyazaki
86,tt0081505,2022-01-16,2022-01-16,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",965368,1980-05-23,Stanley Kubrick
87,tt0120382,2022-01-16,2022-01-16,,The Truman Show,https://www.imdb.com/title/tt0120382/,movie,8.1,103,1998,"Comedy, Drama",1011932,1998-06-01,Peter Weir
88,tt0032910,2022-01-16,2022-01-16,,Pinocchio,https://www.imdb.com/title/tt0032910/,movie,7.4,88,1940,"Animation, Adventure, Comedy, Family, Fantasy, Musical",139505,1940-02-07,"Ben Sharpsteen, Jack Kinney, Hamilton Luske, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts"
89,tt0118715,2022-01-16,2022-01-16,,The Big Lebowski,https://www.imdb.com/title/tt0118715/,movie,8.1,117,1998,"Comedy, Crime, Sport",778556,1998-01-18,"Joel Coen, Ethan Coen"
90,tt0374900,2022-01-16,2022-01-16,,Napoleon Dynamite,https://www.imdb.com/title/tt0374900/,movie,6.9,96,2004,Comedy,210391,2004-01-17,Jared Hess
91,tt0245429,2022-01-16,2022-01-16,,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,movie,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",712482,2001-07-20,Hayao Miyazaki
92,tt0103639,2022-01-16,2022-01-16,,Aladdin,https://www.imdb.com/title/tt0103639/,movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",393031,1992-11-08,"Ron Clements, John Musker"
93,tt0083866,2022-01-16,2022-01-16,,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.8,115,1982,"Adventure, Family, Sci-Fi",393554,1982-05-26,Steven Spielberg
94,tt0107688,2022-01-16,2022-01-16,,The Nightmare Before Christmas,https://www.imdb.com/title/tt0107688/,movie,8.0,76,1993,"Animation, Family, Fantasy, Musical",322943,1993-10-09,Henry Selick
95,tt0099685,2022-01-16,2022-01-16,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",1093141,1990-09-09,Martin Scorsese
96,tt0101414,2022-01-16,2022-01-16,,Beauty and the Beast,https://www.imdb.com/title/tt0101414/,movie,8.0,84,1991,"Animation, Family, Fantasy, Musical, Romance",433566,1991-09-29,"Kirk Wise, Gary Trousdale"
97,tt0266543,2022-01-16,2022-01-16,,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie,8.1,100,2003,"Animation, Adventure, Comedy, Family",1000250,2003-05-18,"Andrew Stanton, Lee Unkrich"
98,tt0110912,2022-01-16,2022-01-16,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1946481,1994-05-21,Quentin Tarantino
99,tt0062622,2022-01-16,2022-01-16,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",640969,1968-04-02,Stanley Kubrick
100,tt0039211,2022-01-16,2022-01-16,,Born to Kill,https://www.imdb.com/title/tt0039211/,movie,7.2,92,1947,"Crime, Drama, Film-Noir, Thriller",5243,1947-04-30,Robert Wise
