Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
44,tt0051247,2015-11-27,2015-11-27,,77 Sunset Strip,https://www.imdb.com/title/tt0051247/,tvSeries,7.7,60,1958,"Action, Crime, Drama",1208,1958-10-10,
45,tt0051267,2015-11-27,2015-11-27,,The Donna Reed Show,https://www.imdb.com/title/tt0051267/,tvSeries,7.4,30,1958,"Comedy, Family",1355,1958-09-24,
46,tt0051311,2015-11-27,2015-11-27,,Sea Hunt,https://www.imdb.com/title/tt0051311/,tvSeries,7.6,30,1958,"Action, Adventure",1087,1958-01-04,
47,tt0051297,2015-11-27,2015-11-27,,Naked City,https://www.imdb.com/title/tt0051297/,tvSeries,8.2,60,1958,"Crime, Drama, Thriller",1014,1958-09-30,
48,tt0051301,2015-11-27,2015-11-27,,Peter Gunn,https://www.imdb.com/title/tt0051301/,tvSeries,8.0,30,1958,"Action, Crime, Drama, Mystery",1083,1958-09-22,
49,tt0051308,2015-11-27,2015-11-27,,The Rifleman,https://www.imdb.com/title/tt0051308/,tvSeries,8.3,30,1958,"Family, Western",3294,1958-09-30,
50,tt0052451,2015-11-27,2015-11-27,,Bonanza,https://www.imdb.com/title/tt0052451/,tvSeries,7.3,49,1959,Western,7993,1959-09-12,
51,tt0052522,2015-11-27,2015-11-27,,The Untouchables,https://www.imdb.com/title/tt0052522/,tvSeries,8.0,50,1959,"Action, Crime, Drama",2365,1959-01-22,
52,tt0052520,2015-11-27,2015-11-27,,The Twilight Zone,https://www.imdb.com/title/tt0052520/,tvSeries,9.0,51,1959,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",71645,1959-10-02,
53,tt0052504,2015-11-27,2015-11-27,,Rawhide,https://www.imdb.com/title/tt0052504/,tvSeries,8.0,50,1959,Western,3190,1959-01-09,
54,tt0052481,2015-11-27,2015-11-27,,Laramie,https://www.imdb.com/title/tt0052481/,tvSeries,7.7,60,1959,Western,921,1959-09-15,
55,tt0053479,2015-11-27,2015-11-27,,The Andy Griffith Show,https://www.imdb.com/title/tt0053479/,tvSeries,8.3,30,1960,"Comedy, Family",12344,1960-10-03,
56,tt0053502,2015-11-27,2015-11-27,,The Flintstones,https://www.imdb.com/title/tt0053502/,tvSeries,7.5,26,1960,"Animation, Adventure, Comedy, Family",32997,1960-05-01,
57,tt0053494,2015-11-27,2015-11-27,,Coronation Street,https://www.imdb.com/title/tt0053494/,tvSeries,5.5,30,1960,"Drama, Romance",4859,1960-12-09,
58,tt0053496,2015-11-27,2015-11-27,,Danger Man,https://www.imdb.com/title/tt0053496/,tvSeries,7.9,24,1960,"Action, Adventure, Crime, Mystery, Thriller",1006,1960-09-11,
59,tt0054528,2015-11-27,2015-11-27,,"Car 54, Where Are You?",https://www.imdb.com/title/tt0054528/,tvSeries,7.7,30,1961,Comedy,1326,1961-09-17,
60,tt0054535,2015-11-27,2015-11-27,,Dr. Kildare,https://www.imdb.com/title/tt0054535/,tvSeries,7.0,60,1961,Drama,694,1961-09-28,
61,tt0054557,2015-11-27,2015-11-27,,Mister Ed,https://www.imdb.com/title/tt0054557/,tvSeries,7.0,30,1958,"Comedy, Family, Fantasy",3674,1961-01-04,
62,tt0054545,2015-11-27,2015-11-27,,Hazel,https://www.imdb.com/title/tt0054545/,tvSeries,7.2,30,1961,Comedy,1402,1961-09-28,
63,tt0121016,2015-11-27,2015-11-27,,Die Rudi Carrell Show,https://www.imdb.com/title/tt0121016/,tvSeries,6.5,45,1965,"Comedy, Family, Game-Show, Music",34,1965-10-25,
64,tt0054518,2015-11-27,2015-11-27,,The Avengers,https://www.imdb.com/title/tt0054518/,tvSeries,8.3,60,1961,"Action, Comedy, Crime, Mystery, Romance, Sci-Fi, Thriller",6831,1961-01-07,
65,tt0054533,2015-11-27,2015-11-27,,The Dick Van Dyke Show,https://www.imdb.com/title/tt0054533/,tvSeries,8.3,30,1961,"Comedy, Family",8800,1961-10-03,
66,tt0159867,2015-11-27,2015-11-27,,Dr. Finlay's Casebook,https://www.imdb.com/title/tt0159867/,tvSeries,8.4,50,1962,Drama,92,1962-08-16,
67,tt0057785,2015-11-27,2015-11-27,,Steptoe and Son,https://www.imdb.com/title/tt0057785/,tvSeries,7.7,45,1962,Comedy,2801,1962-01-05,
68,tt0376402,2015-11-27,2015-11-27,,Intervilles,https://www.imdb.com/title/tt0376402/,tvSeries,4.6,120,1962,"Family, Game-Show",33,1962-07-19,
69,tt0250920,2015-11-27,2015-11-27,,S�bado gigante,https://www.imdb.com/title/tt0250920/,tvSeries,5.8,240,1986,"Comedy, Family, Game-Show, Music, Talk-Show",128,1986-04-12,
70,tt0055660,2015-11-27,2015-11-27,,The Andy Williams Show,https://www.imdb.com/title/tt0055660/,tvSeries,7.9,60,1962,Music,152,1962-09-20,
71,tt0055662,2015-11-27,2015-11-27,,The Beverly Hillbillies,https://www.imdb.com/title/tt0055662/,tvSeries,7.2,30,1962,"Comedy, Family",8109,1962-09-26,
72,tt0055701,2015-11-27,2015-11-27,,The Saint,https://www.imdb.com/title/tt0055701/,tvSeries,7.5,50,1962,"Action, Crime, Drama, Mystery, Thriller",4596,1962-10-04,
73,tt0055710,2015-11-27,2015-11-27,,The Virginian,https://www.imdb.com/title/tt0055710/,tvSeries,7.6,75,1962,Western,1894,1962-09-19,
74,tt0129723,2015-11-27,2015-11-27,,Z Cars,https://www.imdb.com/title/tt0129723/,tvSeries,7.0,50,1962,"Crime, Drama",269,1962-01-02,
75,tt0121949,2015-11-27,2015-11-27,,Mutual of Omaha's Wild Kingdom,https://www.imdb.com/title/tt0121949/,tvSeries,8.4,30,1963,"Documentary, Family",351,1963-01-06,
76,tt0121210,2015-11-27,2015-11-27,,Der 90. Geburtstag oder Dinner for One,https://www.imdb.com/title/tt0121210/,tvShort,7.9,18,1963,"Short, Comedy",6664,1963-05-31,"Heinz Dunkhase, Franco Marazzi"
77,tt0196287,2015-11-27,2015-11-27,,"Ready, Steady, Go!",https://www.imdb.com/title/tt0196287/,tvSeries,8.0,50,1963,Music,61,1963-08-09,
78,tt0056751,2015-11-27,2015-11-27,,Doctor Who,https://www.imdb.com/title/tt0056751/,tvSeries,8.4,45,1963,"Adventure, Drama, Family, Sci-Fi",35392,1963-11-23,
79,tt0056770,2015-11-27,2015-11-27,,Let's Make a Deal,https://www.imdb.com/title/tt0056770/,tvSeries,7.0,30,1963,"Family, Game-Show",425,1963-12-30,
80,tt0056767,2015-11-27,2015-11-27,,The Judy Garland Show,https://www.imdb.com/title/tt0056767/,tvSeries,8.5,60,1963,"Comedy, Music",345,1963-09-29,
81,tt0056757,2015-11-27,2015-11-27,,The Fugitive,https://www.imdb.com/title/tt0056757/,tvSeries,8.0,51,1963,"Adventure, Crime, Drama, Thriller",3389,1963-09-17,
82,tt0168388,2015-11-27,2015-11-27,,Thierry la Fronde,https://www.imdb.com/title/tt0168388/,tvSeries,6.6,26,1963,Adventure,111,1963-11-03,
83,tt0056777,2015-11-27,2015-11-27,,The Outer Limits,https://www.imdb.com/title/tt0056777/,tvSeries,8.2,51,1963,"Fantasy, Horror, Sci-Fi, Drama, Mystery, Thriller",7269,1963-09-16,
84,tt0057733,2015-11-27,2015-11-27,,Bewitched,https://www.imdb.com/title/tt0057733/,tvSeries,7.5,25,1964,"Comedy, Family, Fantasy, Romance",17464,1964-09-17,
85,tt0057741,2015-11-27,2015-11-27,,Crossroads,https://www.imdb.com/title/tt0057741/,tvSeries,3.9,30,1964,Drama,294,1964-11-02,
86,tt0057751,2015-11-27,2015-11-27,,Gilligan's Island,https://www.imdb.com/title/tt0057751/,tvSeries,7.3,30,1964,"Comedy, Family",12932,1964-09-26,
87,tt0057779,2015-11-27,2015-11-27,,Peyton Place,https://www.imdb.com/title/tt0057779/,tvSeries,7.3,30,1964,"Drama, Romance",501,1964-09-15,
88,tt0287857,2015-11-27,2015-11-27,,Le inchieste del commissario Maigret,https://www.imdb.com/title/tt0287857/,tvSeries,8.7,,1964,Crime,68,1964-12-27,
89,tt0058821,2015-11-27,2015-11-27,,The Likely Lads,https://www.imdb.com/title/tt0058821/,tvSeries,7.0,30,1964,Comedy,666,1964-12-16,
90,tt0058578,2015-11-27,2015-11-27,,Seven Up!,https://www.imdb.com/title/tt0058578/,tvMovie,8.0,40,1964,"Documentary, Biography",3660,1964-05-05,Paul Almond
91,tt0057729,2015-11-27,2015-11-27,,The Addams Family,https://www.imdb.com/title/tt0057729/,tvSeries,8.0,30,1964,"Comedy, Family, Horror",14570,1964-09-18,
92,tt0057758,2015-11-27,2015-11-27,,Jeopardy!,https://www.imdb.com/title/tt0057758/,tvSeries,7.6,30,1964,Game-Show,622,1964-03-30,
93,tt0139803,2015-11-27,2015-11-27,,Top of the Pops,https://www.imdb.com/title/tt0139803/,tvSeries,6.9,30,1964,Music,804,1964-01-01,
94,tt0057765,2015-11-27,2015-11-27,,The Man from U.N.C.L.E.,https://www.imdb.com/title/tt0057765/,tvSeries,7.7,50,1964,"Action, Adventure, Crime",4802,1964-09-22,
95,tt0057773,2015-11-27,2015-11-27,,The Munsters,https://www.imdb.com/title/tt0057773/,tvSeries,7.8,30,1964,"Comedy, Family, Fantasy, Horror",12592,1964-09-24,
96,tt0057798,2015-11-27,2015-11-27,,Voyage to the Bottom of the Sea,https://www.imdb.com/title/tt0057798/,tvSeries,7.2,52,1964,"Adventure, Sci-Fi",3233,1964-09-14,
97,tt0058791,2015-11-27,2015-11-27,,The Big Valley,https://www.imdb.com/title/tt0058791/,tvSeries,7.6,60,1965,Western,2523,1965-09-15,
98,tt0058815,2015-11-27,2015-11-27,,I Dream of Jeannie,https://www.imdb.com/title/tt0058815/,tvSeries,7.4,30,1965,"Comedy, Family, Fantasy",13428,1965-09-18,
99,tt0058808,2015-11-27,2015-11-27,,Green Acres,https://www.imdb.com/title/tt0058808/,tvSeries,7.2,30,1965,"Comedy, Family",5798,1965-09-15,
100,tt0375356,2015-11-27,2015-11-27,,Jeux sans fronti�res,https://www.imdb.com/title/tt0375356/,tvSeries,8.3,120,1965,"Family, Game-Show",237,1965-01-31,
101,tt0058812,2015-11-27,2015-11-27,,Hogan's Heroes,https://www.imdb.com/title/tt0058812/,tvSeries,7.9,25,1965,"Comedy, War",8689,1965-09-17,
102,tt0058824,2015-11-27,2015-11-27,,Lost in Space,https://www.imdb.com/title/tt0058824/,tvSeries,7.3,60,1965,"Adventure, Comedy, Family, Fantasy, Sci-Fi",6619,1965-09-08,
103,tt0128004,2015-11-27,2015-11-27,,Not Only... But Also,https://www.imdb.com/title/tt0128004/,tvSeries,8.0,45,1965,Comedy,166,1965-01-09,
104,tt0315006,2015-11-27,2015-11-27,,Ferien in Lipizza,https://www.imdb.com/title/tt0315006/,tvSeries,9.0,,1966,Family,85,1966-09-12,
105,tt0058816,2015-11-27,2015-11-27,,I Spy,https://www.imdb.com/title/tt0058816/,tvSeries,7.1,51,1965,"Action, Adventure, Comedy, Crime",1963,1965-09-15,
106,tt0058796,2015-11-27,2015-11-27,,Days of Our Lives,https://www.imdb.com/title/tt0058796/,tvSeries,5.1,60,1965,"Drama, Romance",6104,1965-11-08,
107,tt0058795,2015-11-27,2015-11-27,,The Dating Game,https://www.imdb.com/title/tt0058795/,tvSeries,5.8,30,1965,"Game-Show, Romance",324,1965-12-20,
108,tt0057790,2015-11-27,2015-11-27,,Thunderbirds,https://www.imdb.com/title/tt0057790/,tvSeries,7.9,50,1965,"Action, Adventure, Drama, Family, Sci-Fi",3960,1965-09-15,
109,tt0060035,2015-11-27,2015-11-27,,Till Death Us Do Part,https://www.imdb.com/title/tt0060035/,tvSeries,7.3,40,1965,Comedy,817,1965-07-22,
110,tt0059968,2015-11-27,2015-11-27,,Batman,https://www.imdb.com/title/tt0059968/,tvSeries,7.5,25,1966,"Action, Adventure, Comedy, Crime, Family, Fantasy, Mystery, Sci-Fi",19009,1966-01-12,
111,tt0061289,2015-11-27,2015-11-27,,Raumpatrouille - Die phantastischen Abenteuer des Raumschiffes Orion,https://www.imdb.com/title/tt0061289/,tvSeries,8.1,60,1966,"Adventure, Sci-Fi",865,1966-09-17,
112,tt0129717,2015-11-27,2015-11-27,,Softly Softly,https://www.imdb.com/title/tt0129717/,tvSeries,7.2,50,1966,"Crime, Drama",88,1966-01-05,
113,tt0059978,2015-11-27,2015-11-27,,Dark Shadows,https://www.imdb.com/title/tt0059978/,tvSeries,8.0,30,1966,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller",3978,1966-06-27,
114,tt0060009,2015-11-27,2015-11-27,,Mission: Impossible,https://www.imdb.com/title/tt0060009/,tvSeries,7.9,50,1966,"Action, Adventure, Crime, Drama, Thriller",8121,1966-09-17,
115,tt0060028,2015-11-27,2015-11-27,,Star Trek,https://www.imdb.com/title/tt0060028/,tvSeries,8.3,50,1966,"Action, Adventure, Sci-Fi",73857,1966-09-08,
116,tt0060010,2015-11-27,2015-11-27,,The Monkees,https://www.imdb.com/title/tt0060010/,tvSeries,7.4,30,1966,"Comedy, Music",3681,1966-09-12,
117,tt0060036,2015-11-27,2015-11-27,,The Time Tunnel,https://www.imdb.com/title/tt0060036/,tvSeries,7.6,60,1966,"Action, Adventure, Sci-Fi",3157,1966-09-09,
118,tt0059966,2015-11-27,2015-11-27,,The Baron,https://www.imdb.com/title/tt0059966/,tvSeries,7.3,49,1966,"Crime, Drama",212,1966-01-20,
119,tt0060038,2015-11-27,2015-11-27,,Urutoraman: K�s� tokusatsu shir�zu,https://www.imdb.com/title/tt0060038/,tvSeries,7.9,30,1966,"Action, Adventure, Family, Horror, Sci-Fi, Thriller",557,1966-07-10,
120,tt0061238,2015-11-27,2015-11-27,,Callan,https://www.imdb.com/title/tt0061238/,tvSeries,8.3,60,1967,"Crime, Drama, Mystery, Thriller",628,1967-02-04,
121,tt0065335,2015-11-27,2015-11-27,,The Phil Donahue Show,https://www.imdb.com/title/tt0065335/,tvSeries,6.4,60,1967,Talk-Show,282,1967-11-06,
122,tt0061266,2015-11-27,2015-11-27,,Ironside,https://www.imdb.com/title/tt0061266/,tvSeries,6.9,60,1967,"Crime, Drama, Mystery",3090,1967-09-14,
123,tt0061263,2015-11-27,2015-11-27,,The High Chaparral,https://www.imdb.com/title/tt0061263/,tvSeries,7.7,60,1967,Western,1695,1967-09-10,
124,tt0061265,2015-11-27,2015-11-27,,The Invaders,https://www.imdb.com/title/tt0061265/,tvSeries,8.1,51,1967,"Drama, Sci-Fi, Thriller",2538,1967-01-10,
125,tt0475490,2015-11-27,2015-11-27,,AFL-NFL World Championship Game,https://www.imdb.com/title/tt0475490/,tvSpecial,7.5,,1967,Sport,38,1967-01-15,
126,tt0167585,2015-11-27,2015-11-27,,Les enqu�tes du commissaire Maigret,https://www.imdb.com/title/tt0167585/,tvSeries,7.6,90,1967,"Crime, Drama",91,1967-10-14,
127,tt0061280,2015-11-27,2015-11-27,,The Mothers-In-Law,https://www.imdb.com/title/tt0061280/,tvSeries,7.5,30,1967,Comedy,515,1967-09-10,
128,tt0061287,2015-11-27,2015-11-27,,The Prisoner,https://www.imdb.com/title/tt0061287/,tvSeries,8.4,50,1967,"Drama, Mystery, Sci-Fi",12413,1967-09-05,
129,tt0061240,2015-11-27,2015-11-27,,The Carol Burnett Show,https://www.imdb.com/title/tt0061240/,tvSeries,8.8,60,1967,"Comedy, Family",4902,1967-09-11,
130,tt0061253,2015-11-27,2015-11-27,,The Forsyte Saga,https://www.imdb.com/title/tt0061253/,tvSeries,8.5,50,1967,"Drama, Romance",917,1967-01-07,
131,tt0063930,2015-11-27,2015-11-27,,The Morecambe & Wise Show,https://www.imdb.com/title/tt0063930/,tvSeries,8.1,,1968,Comedy,746,1968-09-02,
132,tt0062552,2015-11-27,2015-11-27,,Dad's Army,https://www.imdb.com/title/tt0062552/,tvSeries,8.1,30,1968,"Comedy, War",5656,1968-07-31,
133,tt0062568,2015-11-27,2015-11-27,,Hawaii Five-O,https://www.imdb.com/title/tt0062568/,tvSeries,7.3,60,1968,"Crime, Drama, Mystery",5717,1968-09-20,
134,tt0062575,2015-11-27,2015-11-27,,Julia,https://www.imdb.com/title/tt0062575/,tvSeries,7.7,30,1968,Comedy,485,1968-09-17,
135,tt0062578,2015-11-27,2015-11-27,,Land of the Giants,https://www.imdb.com/title/tt0062578/,tvSeries,7.1,60,1968,Sci-Fi,2199,1968-09-22,
136,tt0059979,2015-11-27,2015-11-27,,The Dean Martin Summer Show,https://www.imdb.com/title/tt0059979/,tvSeries,6.2,60,1966,"Comedy, Music",20,1966-06-16,
137,tt0199247,2015-11-27,2015-11-27,,Super sabado sensacional,https://www.imdb.com/title/tt0199247/,tvSeries,2.9,,1983,,12,,
138,tt0062551,2015-11-27,2015-11-27,,The Champions,https://www.imdb.com/title/tt0062551/,tvSeries,7.6,60,1968,"Adventure, Sci-Fi, Thriller",962,1968-02-05,
139,tt0063894,2015-11-27,2015-11-27,,The Dick Cavett Show,https://www.imdb.com/title/tt0063894/,tvSeries,8.4,90,1968,"Music, Talk-Show",644,1968-03-04,
140,tt0264234,2015-11-27,2015-11-27,,Civilisation,https://www.imdb.com/title/tt0264234/,tvMiniSeries,8.7,50,1969,"Documentary, History, Music, War",777,1969-02-23,
141,tt0063893,2015-11-27,2015-11-27,,Department S,https://www.imdb.com/title/tt0063893/,tvSeries,7.1,60,1969,"Action, Adventure, Crime, Drama, Horror, Mystery, Sci-Fi, Thriller",400,1969-03-09,
142,tt0063929,2015-11-27,2015-11-27,,Monty Python's Flying Circus,https://www.imdb.com/title/tt0063929/,tvSeries,8.8,30,1969,Comedy,67685,1969-10-05,
143,tt0063927,2015-11-27,2015-11-27,,"Marcus Welby, M.D.",https://www.imdb.com/title/tt0063927/,tvSeries,7.0,60,1969,Drama,1348,1969-03-26,
144,tt0063878,2015-11-27,2015-11-27,,The Brady Bunch,https://www.imdb.com/title/tt0063878/,tvSeries,6.7,30,1969,"Comedy, Family",12489,1969-09-26,
145,tt0472581,2015-11-27,2015-11-27,,W�nsch dir was,https://www.imdb.com/title/tt0472581/,tvSeries,6.6,90,1969,"Family, Game-Show",9,1969-12-20,
146,tt0064897,2015-11-27,2015-11-27,,Riten,https://www.imdb.com/title/tt0064897/,tvMovie,7.1,72,1969,Drama,2499,1969-03-25,Ingmar Bergman
147,tt0063946,2015-11-27,2015-11-27,,Randall and Hopkirk (Deceased),https://www.imdb.com/title/tt0063946/,tvSeries,7.7,60,1969,"Action, Comedy, Crime, Drama, Fantasy, Mystery",1096,1969-09-21,
148,tt0065272,2015-11-27,2015-11-27,,All My Children,https://www.imdb.com/title/tt0065272/,tvSeries,6.7,60,1970,"Drama, Romance, Mystery",2531,1970-01-05,
149,tt0063962,2015-11-27,2015-11-27,,UFO,https://www.imdb.com/title/tt0063962/,tvSeries,7.9,45,1970,"Action, Sci-Fi",2880,1970-09-16,
150,tt0065329,2015-11-27,2015-11-27,,The Odd Couple,https://www.imdb.com/title/tt0065329/,tvSeries,7.8,30,1970,Comedy,5311,1970-09-24,
151,tt0065333,2015-11-27,2015-11-27,,The Partridge Family,https://www.imdb.com/title/tt0065333/,tvSeries,6.4,30,1970,"Comedy, Family, Music",3441,1970-09-25,
152,tt0065317,2015-11-27,2015-11-27,,McCloud,https://www.imdb.com/title/tt0065317/,tvSeries,6.9,120,1970,"Action, Crime, Drama, Mystery, Thriller",2771,1970-02-17,
153,tt1515533,2015-11-27,2015-11-27,,Rischiatutto,https://www.imdb.com/title/tt1515533/,tvSeries,6.3,,1970,Game-Show,7,1970-02-05,
154,tt0065296,2015-11-27,2015-11-27,,The Goodies,https://www.imdb.com/title/tt0065296/,tvSeries,7.7,30,1970,Comedy,1453,1970-11-08,
155,tt0806910,2015-11-27,2015-11-27,,Tatort,https://www.imdb.com/title/tt0806910/,tvSeries,7.1,90,1970,"Crime, Drama, Mystery, Thriller",2457,1970-11-29,
156,tt0065314,2015-11-27,2015-11-27,,Mary Tyler Moore,https://www.imdb.com/title/tt0065314/,tvSeries,8.1,30,1970,Comedy,7028,1970-09-19,
157,tt0065294,2015-11-27,2015-11-27,,Flip,https://www.imdb.com/title/tt0065294/,tvSeries,7.2,60,1970,"Comedy, Music",918,1970-09-17,
